                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2049,                 2.2885,                  1.505,                0.46562,                0.90722,                0.79281,                0.57376,                0.78743,                 3.0096,                 1.3071,                0.00036,                0.00036,                0.00036
                      2,                 1.0321,                 1.5209,                 1.3961,                0.48558,                0.26804,                0.36041,                0.17311,                 1.5281,                 3.4212,                 2.0726,             0.00073267,             0.00073267,             0.00073267
                      3,                 1.0843,                 1.5653,                 1.4192,                0.50309,                0.55155,                0.51374,                0.25718,                 1.3273,                 2.9422,                 1.9224,              0.0010978,              0.0010978,              0.0010978
                      4,                 1.0952,                 1.5556,                 1.4576,                0.86263,                0.74449,                0.84078,                0.55855,                 1.0465,                 2.4963,                 1.5819,              0.0014555,              0.0014555,              0.0014555
                      5,                 1.1339,                 1.4895,                 1.4619,                 0.6223,                0.68557,                0.63744,                0.26373,                 1.6509,                  3.576,                 2.4751,              0.0018056,              0.0018056,              0.0018056
                      6,                 1.1614,                 1.5591,                 1.4745,                  0.571,                0.72039,                0.66479,                0.34524,                 1.4817,                 2.2977,                 2.1599,               0.001901,               0.001901,               0.001901
                      7,                  1.128,                 1.4642,                 1.4597,                0.51267,                0.62371,                0.53369,                 0.2627,                 1.5408,                 2.8426,                 2.0948,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2332,                 1.4855,                  1.514,                0.60744,                0.48454,                0.53073,                0.22747,                 1.7736,                  2.315,                 2.3929,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1722,                  1.372,                 1.4648,                0.50022,                0.51546,                0.49781,                0.24266,                 1.5896,                 2.1035,                 2.0561,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1353,                 1.2971,                 1.4156,                 0.6371,                0.75773,                0.70588,                 0.4041,                 1.2568,                 2.1413,                 1.7626,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.146,                 1.3076,                 1.4607,                0.83485,                0.72959,                0.84894,                0.57813,                 1.1302,                  1.566,                 1.7207,               0.001802,               0.001802,               0.001802
                     12,                 1.0726,                  1.218,                 1.3895,                0.66642,                0.72165,                0.72847,                0.41339,                 1.2407,                 1.8659,                 1.8112,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1054,                 1.2223,                 1.4354,                0.63345,                0.73936,                 0.7359,                0.42052,                 1.3302,                 1.8881,                 1.8863,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1137,                 1.2113,                 1.4682,                0.82466,                0.76804,                 0.8679,                0.54284,                 1.2066,                 1.3636,                  1.773,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0793,                 1.1288,                 1.3952,                0.62535,                0.46907,                0.55341,                0.26905,                 1.6208,                 2.1631,                 2.1436,              0.0017228,              0.0017228,              0.0017228
                     16,                0.99879,                 1.0494,                 1.3607,                0.75744,                 0.8209,                0.82194,                0.41904,                 1.4158,                 1.7473,                 1.9943,               0.001703,               0.001703,               0.001703
                     17,                 1.0447,                   1.07,                 1.4143,                0.90017,                0.79015,                0.88487,                0.57976,                 1.1001,                 1.2924,                 1.6415,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0385,                 1.0739,                 1.3923,                0.89236,                0.84536,                0.91755,                0.60767,                  1.128,                 1.1511,                 1.6155,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1004,                 1.0396,                  1.422,                0.84275,                0.81443,                0.86961,                0.55119,                 1.1916,                 1.1938,                  1.793,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0391,                 1.0326,                  1.379,                0.94937,                0.86987,                0.95309,                0.70573,                0.91309,                 0.9557,                 1.4305,              0.0016238,              0.0016238,              0.0016238
                     21,                0.93383,                0.95023,                 1.3012,                0.91549,                0.87629,                0.95115,                0.72177,                 0.9059,                0.91071,                 1.3876,               0.001604,               0.001604,               0.001604
                     22,                0.98402,                0.93364,                 1.3749,                0.90077,                0.92268,                0.96265,                0.69026,                0.96566,                0.98883,                 1.4441,              0.0015842,              0.0015842,              0.0015842
                     23,                0.98765,                0.89717,                 1.3276,                 0.9186,                0.93079,                0.96657,                0.75886,                0.81188,                0.80225,                 1.3022,              0.0015644,              0.0015644,              0.0015644
                     24,                0.99451,                0.91741,                 1.3502,                0.93021,                0.89314,                0.93702,                0.69332,                0.94609,                0.93176,                  1.506,              0.0015446,              0.0015446,              0.0015446
                     25,                0.95045,                0.89896,                 1.3227,                0.89477,                0.83276,                0.91993,                0.65714,                0.93038,                0.95083,                 1.4768,              0.0015248,              0.0015248,              0.0015248
                     26,                0.92632,                0.90482,                 1.3113,                0.78043,                0.84536,                0.87596,                0.62226,                0.97824,                 1.0528,                 1.4447,               0.001505,               0.001505,               0.001505
                     27,                 1.0187,                0.89801,                 1.3503,                0.90391,                0.93299,                0.96311,                0.72201,                0.86385,                0.81611,                 1.3571,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97679,                0.87299,                 1.3107,                0.95267,                0.85567,                0.95371,                0.70711,                0.92272,                0.80425,                 1.4024,              0.0014654,              0.0014654,              0.0014654
                     29,                0.90831,                0.85239,                 1.2605,                 0.9604,                 0.8866,                0.96366,                0.73621,                0.90616,                 0.7247,                 1.3841,              0.0014456,              0.0014456,              0.0014456
                     30,                0.94781,                 0.8696,                 1.3023,                0.96577,                0.87262,                 0.9581,                0.73574,                0.88195,                0.74961,                 1.3459,              0.0014258,              0.0014258,              0.0014258
                     31,                0.92725,                0.81941,                 1.2658,                0.94322,                0.92268,                0.97563,                 0.7403,                0.87713,                0.67502,                 1.3288,               0.001406,               0.001406,               0.001406
                     32,                0.93638,                0.83932,                 1.3015,                0.93304,                0.93379,                0.97412,                 0.7465,                0.86814,                0.67215,                 1.3255,              0.0013862,              0.0013862,              0.0013862
                     33,                0.92155,                0.79723,                 1.2923,                0.97752,                0.93814,                0.97734,                0.78239,                0.77251,                0.64263,                 1.2474,              0.0013664,              0.0013664,              0.0013664
                     34,                0.89795,                 0.8209,                 1.2867,                0.95242,                0.92866,                  0.976,                0.77542,                0.79305,                0.62626,                 1.2976,              0.0013466,              0.0013466,              0.0013466
                     35,                0.94308,                0.78483,                    1.3,                0.96238,                0.92297,                0.97803,                0.74891,                 0.8759,                0.70103,                 1.3481,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93751,                0.77626,                 1.2712,                0.92063,                0.91753,                0.97152,                0.76351,                0.83091,                0.69218,                 1.2901,               0.001307,               0.001307,               0.001307
                     37,                0.94877,                0.81792,                   1.28,                0.96824,                0.91753,                0.97778,                0.76482,                0.82638,                0.67572,                 1.2967,              0.0012872,              0.0012872,              0.0012872
                     38,                0.88361,                0.77784,                 1.2607,                0.95984,                0.93814,                0.98281,                0.78241,                0.79744,                0.60572,                 1.2779,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85927,                0.73288,                  1.231,                0.96878,                0.92268,                0.98146,                0.77785,                0.78364,                0.59367,                 1.2544,              0.0012476,              0.0012476,              0.0012476
                     40,                0.88058,                0.77585,                 1.2458,                0.97832,                0.93041,                0.98375,                0.80452,                0.72062,                0.56651,                  1.212,              0.0012278,              0.0012278,              0.0012278
